DATE,DSPIC96
2019-01-01,15541.433333333333
2019-04-01,15530.133333333333
2019-07-01,15637.033333333333
2019-10-01,15727.033333333333
2020-01-01,15822.266666666667
2020-04-01,17386.600000000000
2020-07-01,16775.633333333333
2020-10-01,16445.366666666667
2021-01-01,18378.266666666667
2021-04-01,16957.333333333333
2021-07-01,16730.700000000000
2021-10-01,16488.566666666667
2022-01-01,16067.200000000000
2022-04-01,16009.733333333333
2022-07-01,16151.866666666667
2022-10-01,16239.400000000000
2023-01-01,16662.733333333333
2023-04-01,16797.300000000000
2023-07-01,16819.633333333333
2023-10-01,16911.000000000000
